checkpoint,seed,num_layers,source,destination,through,destination_max_layer,keep_max_layer,kept_layers,retained,max_exact_drop,exact_drop_at_kept_prefix,drop_threshold,relative_increment_fraction,plateau_patience
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_tag,D_ones,O[0],8,-1,none,0,0.0,0.0,0.02,0.2,2
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_tens,D_ones,O[0],8,-1,none,0,0.0,0.0,0.02,0.2,2
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_ones,D_ones,O[0],8,-1,none,0,0.0,0.0,0.02,0.2,2
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,D_tag,D_ones,O[0],8,0,L0-L0,1,0.27689787001638444,0.275805570726379,0.02,0.2,2
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tag,N_hundreds,O[1],6,0,L0-L0,1,0.312397596941562,0.312397596941562,0.02,0.2,2
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tag,N_tens,O[1],7,6,L0-L6,1,0.020207536865101017,0.020207536865101017,0.02,0.2,2
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_hundreds,N_tens,O[1],7,-1,none,0,0.0005461496450027692,0.0,0.02,0.2,2
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tag,N_ones,O[1],9,-1,none,0,0.0,0.0,0.02,0.2,2
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_hundreds,N_ones,O[1],9,-1,none,0,0.0,0.0,0.02,0.2,2
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tens,N_ones,O[1],9,-1,none,0,0.0010922992900054274,0.0,0.02,0.2,2
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tag,B_ones,O[1],3,-1,none,0,0.0,0.0,0.02,0.2,2
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_hundreds,B_ones,O[1],3,-1,none,0,0.0,0.0,0.02,0.2,2
