checkpoint,seed,num_layers,destination,through,destination_max_layer,source,blocked_prefix_max_layer,blocked_layers,exact_drop_from_clean,n_examples,exact_answer_accuracy,o0_token_accuracy,o1_token_accuracy,max_forbidden_attn_weight
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,N_tens,5,L0-L5,0.13435281267067178,1831,0.8530857454942654,0.8935008192244676,0.9038776624795194,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,N_tens,6,L0-L6,0.1469142545057346,1831,0.8405243036592026,0.8831239759694156,0.894593118514473,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,N_tens,7,L0-L7,0.15565264882577823,1831,0.831785909339159,0.8765701802293828,0.8880393227744402,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,N_tens,8,L0-L8,0.15892954669579462,1831,0.8285090114691426,0.8754778809393774,0.884216275259421,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,N_tens,9,L0-L9,0.15892954669579462,1831,0.8285090114691426,0.8754778809393774,0.884216275259421,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,N_ones,0,L0-L0,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,N_ones,1,L0-L1,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,N_ones,2,L0-L2,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,N_ones,3,L0-L3,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,N_ones,4,L0-L4,0.0,1831,0.9874385581649372,0.9929000546149646,0.9901693063899508,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,N_ones,5,L0-L5,-0.0005461496450027692,1831,0.98798470780994,0.9934462042599672,0.9907154560349536,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],ROOT,9,N_ones,6,L0-L6,0.0021845985800109657,1831,0.9852539595849262,0.9907154560349536,0.9896231567449482,0.0
