checkpoint,seed,num_layers,representation_index,layer_label,stream,target,target_label,cv_r2,n_examples,cv_folds
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,0,input,D_ones,floorNdivBpowD,floor(N / B^D),0.36948334528915316,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,0,input,D_ones,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.27308962165672257,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,0,input,O[0],BpowD,B^D,-0.09826354696490336,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,0,input,O[0],NdivBpowD,N / B^D,-0.3055546564862209,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,0,input,O[0],floorNdivBpowD,floor(N / B^D),-0.3038081202942816,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,0,input,O[0],floorNdivBpowD_modB,floor(N / B^D) mod B,-0.5683665798460951,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,0,input,O[1],BpowD,B^D,-0.07969116332381558,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,0,input,O[1],NdivBpowD,N / B^D,-0.2581890175011266,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,0,input,O[1],floorNdivBpowD,floor(N / B^D),-0.2564287885560664,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,0,input,O[1],floorNdivBpowD_modB,floor(N / B^D) mod B,0.2141488537562653,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,N_tag,BpowD,B^D,-0.09826354696490336,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,N_tag,NdivBpowD,N / B^D,-0.3055546564862209,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,N_tag,floorNdivBpowD,floor(N / B^D),-0.3038081202942816,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,N_tag,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.5683665798460951,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,1,0,N_hundreds,BpowD,B^D,-0.06358098422104357,3848,5
