cell_id,drop_threshold,relative_increment_fraction,plateau_patience,checkpoint,seed,num_layers,source,destination,through,destination_max_layer,keep_max_layer,kept_layers,retained,max_exact_drop,exact_drop_at_kept_prefix
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tag,O[0],ROOT,9,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_hundreds,O[0],ROOT,9,6,L0-L6,1,0.17258328782086296,0.17258328782086296
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tens,O[0],ROOT,9,7,L0-L7,1,0.15892954669579462,0.15565264882577823
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_ones,O[0],ROOT,9,9,L0-L9,1,0.04751501911523759,0.04751501911523759
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_tag,O[0],ROOT,9,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_tens,O[0],ROOT,9,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_ones,O[0],ROOT,9,3,L0-L3,1,0.1796832332058984,0.14800655379574001
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,D_tag,O[0],ROOT,9,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,D_ones,O[0],ROOT,9,8,L0-L8,1,0.19770617149098857,0.19661387220098303
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tag,O[1],ROOT,9,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_hundreds,O[1],ROOT,9,7,L0-L7,1,0.19770617149098857,0.19661387220098303
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tens,O[1],ROOT,9,8,L0-L8,1,0.24194429273620977,0.241398143091207
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_ones,O[1],ROOT,9,9,L0-L9,1,0.2566903331512834,0.2566903331512834
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_tag,O[1],ROOT,9,-1,none,0,0.0,0.0
