checkpoint,seed,num_layers,representation_index,layer_label,stream,target,target_label,cv_r2,n_examples,cv_folds
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,0,input,D_ones,NdivBpowD,N / B^D,0.3494671887179905,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,0,input,D_ones,floorNdivBpowD,floor(N / B^D),0.35142903324028374,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,0,input,D_ones,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.26173560489197584,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,0,input,O[0],BpowD,B^D,-0.13046239733120935,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,0,input,O[0],NdivBpowD,N / B^D,-0.29309006550487654,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,0,input,O[0],floorNdivBpowD,floor(N / B^D),-0.29152325156489406,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,0,input,O[0],floorNdivBpowD_modB,floor(N / B^D) mod B,-0.6378409576863857,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,0,input,O[1],BpowD,B^D,-0.09700280784657714,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,0,input,O[1],NdivBpowD,N / B^D,-0.22460350414069002,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,0,input,O[1],floorNdivBpowD,floor(N / B^D),-0.22304190081191538,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,0,input,O[1],floorNdivBpowD_modB,floor(N / B^D) mod B,0.17822853442292583,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,N_tag,BpowD,B^D,-0.13046239733120935,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,N_tag,NdivBpowD,N / B^D,-0.29309006550487654,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,N_tag,floorNdivBpowD,floor(N / B^D),-0.29152325156489406,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,N_tag,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.6378409576863857,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,N_hundreds,BpowD,B^D,-0.039884269922321726,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,N_hundreds,NdivBpowD,N / B^D,-0.1665257961215051,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,N_hundreds,floorNdivBpowD,floor(N / B^D),-0.16539561240475972,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,N_hundreds,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.5021076354030704,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,N_tens,BpowD,B^D,-0.057604853415239576,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,N_tens,NdivBpowD,N / B^D,-0.14421271606975702,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,N_tens,floorNdivBpowD,floor(N / B^D),-0.14339479135327324,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,N_tens,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.41092060714181555,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,N_ones,BpowD,B^D,-0.1115291380632728,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,N_ones,NdivBpowD,N / B^D,-0.2177601898173959,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,N_ones,floorNdivBpowD,floor(N / B^D),-0.2168999579676262,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,N_ones,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.49202268126467563,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,B_tag,BpowD,B^D,-0.0753067662877593,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,B_tag,NdivBpowD,N / B^D,-0.14718673850984829,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,B_tag,floorNdivBpowD,floor(N / B^D),-0.1466679330556185,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,B_tag,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.3595756733936932,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,B_tens,BpowD,B^D,0.0019700392733664972,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,B_tens,NdivBpowD,N / B^D,-0.14665322830508423,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,B_tens,floorNdivBpowD,floor(N / B^D),-0.14682951559403284,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,B_tens,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.056868866403812925,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,B_ones,BpowD,B^D,-0.050108506403238405,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,B_ones,NdivBpowD,N / B^D,-0.17007131211414905,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,1,0,B_ones,floorNdivBpowD,floor(N / B^D),-0.17024939597392877,3677,5
