target,target_label,representation_index,layer_label,stream,n_seeds,mean_positive_fraction_remaining_gap_closed,ci95_low_bootstrap_percentile,ci95_high_bootstrap_percentile,seed_values,mean_init_cv_r2,mean_trained_cv_r2
BpowD,B^D,10,9,B_tens,3,0.00011410047316298585,0.0,0.00034230141948895756,0:0.000342;42:0.000000;1337:0.000000,-0.10807910288800034,-0.12903034534379287
BpowD,B^D,0,input,D_ones,3,5.853443170456129e-16,0.0,1.7560329511368388e-15,0:0.000000;42:0.000000;1337:0.000000,0.21275348421404805,0.2081024302005535
BpowD,B^D,1,0,D_ones,3,0.9797942474315424,0.9601924313234442,0.9923688723241352,0:0.992369;42:0.960192;1337:0.986821,0.9125705227504182,0.9980738165681965
BpowD,B^D,2,1,D_ones,3,0.6095180864889261,0.06640515350790645,0.9235833269412449,0:0.838566;42:0.066405;1337:0.923583,0.8690248541457709,0.9373038580416074
BpowD,B^D,3,2,D_ones,3,0.5761523831929606,0.12863415600828354,0.8306442854886632,0:0.769179;42:0.128634;1337:0.830644,0.8466441018527416,0.9236969896384112
BpowD,B^D,4,3,D_ones,3,0.5099889292447037,0.11724966206234945,0.7312771170023792,0:0.681440;42:0.117250;1337:0.731277,0.8235551775369819,0.9000335126805333
BpowD,B^D,5,4,D_ones,3,0.4635530146646518,0.07955012024033092,0.6860846237690682,0:0.625024;42:0.079550;1337:0.686085,0.822057920196292,0.8920948776088156
BpowD,B^D,6,5,D_ones,3,0.47944137218843214,0.152129949469789,0.6524666721529534,0:0.633727;42:0.152130;1337:0.652467,0.8150841297184267,0.892119992390415
BpowD,B^D,7,6,D_ones,3,0.43628575334761477,0.02433259624813389,0.6751829538545661,0:0.609342;42:0.024333;1337:0.675183,0.8124133804833026,0.8819109454495891
BpowD,B^D,8,7,D_ones,3,0.40721591913120886,0.0,0.6433293570956062,0:0.578318;42:0.000000;1337:0.643329,0.8017966879680459,0.8687468642868366
BpowD,B^D,9,8,D_ones,3,0.37176019572350866,0.0,0.5721981446937566,0:0.543082;42:0.000000;1337:0.572198,0.7982643701543761,0.8509497286794829
BpowD,B^D,10,9,D_ones,3,0.44858181130502217,0.146521126154613,0.6097664538242884,0:0.589458;42:0.146521;1337:0.609766,0.7883924504242733,0.8724628184604354
BpowD,B^D,0,input,D_tag,3,0.0,0.0,0.0,0:0.000000;42:0.000000;1337:0.000000,-0.10551909400534443,-0.10551909400534443
BpowD,B^D,1,0,D_tag,3,0.0,0.0,0.0,0:0.000000;42:0.000000;1337:0.000000,-0.06573294074066187,-0.09087515435606229
BpowD,B^D,2,1,D_tag,3,0.0011866419749612714,0.0,0.0035599259248838143,0:0.003560;42:0.000000;1337:0.000000,-0.06361458404144044,-0.07371508505673573
BpowD,B^D,3,2,D_tag,3,0.002174343283160456,0.0,0.006523029849481368,0:0.006523;42:0.000000;1337:0.000000,-0.06415481303644323,-0.0656140586856513
BpowD,B^D,4,3,D_tag,3,0.0053603954889541,0.0,0.0160811864668623,0:0.016081;42:0.000000;1337:0.000000,-0.06667391292570325,-0.06626835835795364
BpowD,B^D,5,4,D_tag,3,0.00591334740140996,0.0,0.01410069005938387,0:0.014101;42:0.003639;1337:0.000000,-0.06783528812518823,-0.06411084790475931
BpowD,B^D,6,5,D_tag,3,0.011458711910155912,0.0,0.018105130868582748,0:0.016271;42:0.018105;1337:0.000000,-0.07193077889857953,-0.06181986506768324
BpowD,B^D,7,6,D_tag,3,0.015801956070918475,0.0,0.033032161697485914,0:0.033032;42:0.014374;1337:0.000000,-0.07549113289175884,-0.06026420212299055
BpowD,B^D,8,7,D_tag,3,0.012336967867133834,0.0,0.027153095397087563,0:0.027153;42:0.009858;1337:0.000000,-0.07454804321087606,-0.06345221762447961
BpowD,B^D,9,8,D_tag,3,0.014863281586090703,0.0,0.024239312681662902,0:0.024239;42:0.020351;1337:0.000000,-0.07482466028327663,-0.06130676638161533
BpowD,B^D,10,9,D_tag,3,0.01591647829434011,0.0,0.03208549674591303,0:0.032085;42:0.015664;1337:0.000000,-0.07075768792750156,-0.055246500816211665
BpowD,B^D,0,input,N_hundreds,3,0.005106486406228278,0.0,0.015319459218684458,0:0.015319;42:0.000000;1337:0.000000,-0.06171738993876182,-0.056286228100914194
BpowD,B^D,1,0,N_hundreds,3,0.005115213631643256,0.0,0.015345640894929674,0:0.000000;42:0.015346;1337:0.000000,-0.06171738993876191,-0.056310905099833435
BpowD,B^D,2,1,N_hundreds,3,2.6566798533042746e-16,0.0,6.263122645643801e-16,0:0.000000;42:0.000000;1337:0.000000,-0.061717389938761726,-0.061717389938761524
BpowD,B^D,3,2,N_hundreds,3,7.528817045896143e-16,0.0,2.0485630320126553e-15,0:0.000000;42:0.000000;1337:0.000000,-0.044723617016005975,-0.06171738993876182
BpowD,B^D,4,3,N_hundreds,3,0.0,0.0,0.0,0:0.000000;42:0.000000;1337:0.000000,-0.038489132243712594,-0.06171738993876169
BpowD,B^D,5,4,N_hundreds,3,0.0,0.0,0.0,0:0.000000;42:0.000000;1337:0.000000,-0.061717389938761545,-0.061717389938761746
BpowD,B^D,6,5,N_hundreds,3,0.005115213631643402,0.0,0.015345640894930115,0:0.000000;42:0.015346;1337:0.000000,-0.05449135809617909,-0.05631090509983308
BpowD,B^D,7,6,N_hundreds,3,0.0051152136316430655,0.0,0.015345640894929199,0:0.000000;42:0.015346;1337:0.000000,-0.04231581833810699,-0.0563109050998336
BpowD,B^D,8,7,N_hundreds,3,2.6596807962181245e-16,0.0,4.171304656823474e-16,0:0.000000;42:0.000000;1337:0.000000,-0.05449135809617909,-0.061717389938761545
BpowD,B^D,9,8,N_hundreds,3,0.007747542500227084,0.0,0.023242627500681217,0:0.000000;42:0.000000;1337:0.023243,-0.06171738993876161,-0.053469131155799376
BpowD,B^D,10,9,N_hundreds,3,1.247362360427363e-16,0.0,3.742087081282089e-16,0:0.000000;42:0.000000;1337:0.000000,-0.04333804527848692,-0.06171738993876197
BpowD,B^D,0,input,N_ones,3,3.262645707009566e-17,0.0,9.787937121028697e-17,0:0.000000;42:0.000000;1337:0.000000,-0.10956054924977533,-0.10956054924977555
BpowD,B^D,1,0,N_ones,3,0.041509660907573416,0.003794063987305835,0.07019255453333373,0:0.050542;42:0.003794;1337:0.070193,-0.13138332951472995,-0.08365764967891993
BpowD,B^D,2,1,N_ones,3,0.028889203241998316,0.0,0.07019270077212131,0:0.000000;42:0.016475;1337:0.070193,-0.12972074833895478,-0.10261529811038302
BpowD,B^D,3,2,N_ones,3,0.02872387231393528,0.0015763144265539457,0.06381959157528336,0:0.020776;42:0.001576;1337:0.063820,-0.1361642433927133,-0.10315732609818333
BpowD,B^D,4,3,N_ones,3,0.02446387185190249,0.014557124018830815,0.04259724414315116,0:0.016237;42:0.014557;1337:0.042597,-0.11799009037754211,-0.09079121870155993
BpowD,B^D,5,4,N_ones,3,0.023488126575388926,0.01910788563721925,0.031593558327684235,0:0.019108;42:0.031594;1337:0.019763,-0.13543094049685403,-0.10872706659252136
BpowD,B^D,6,5,N_ones,3,0.0057827402096483176,0.0,0.017348220628944953,0:0.017348;42:0.000000;1337:0.000000,-0.10849170538291432,-0.11955022575523999
BpowD,B^D,7,6,N_ones,3,0.022724840964797707,0.001992563470863532,0.0352259978705883,0:0.035226;42:0.001993;1337:0.030956,-0.11262726207847584,-0.08727321950358903
BpowD,B^D,8,7,N_ones,3,0.011786408353810398,0.0,0.035359225061431195,0:0.035359;42:0.000000;1337:0.000000,-0.11001435937434474,-0.10886049457171866
BpowD,B^D,9,8,N_ones,3,0.006027103469891701,0.0,0.016125408615825614,0:0.016125;42:0.001956;1337:0.000000,-0.10750240727355677,-0.10128793303267886
BpowD,B^D,10,9,N_ones,3,0.02228583175743189,0.018494331854958405,0.026520215218393803,0:0.018494;42:0.026520;1337:0.021843,-0.11543853061520189,-0.0905761957963741
BpowD,B^D,0,input,N_tag,3,0.0,0.0,0.0,0:0.000000;42:0.000000;1337:0.000000,-0.10551909400534443,-0.10551909400534443
BpowD,B^D,1,0,N_tag,3,0.0,0.0,0.0,0:0.000000;42:0.000000;1337:0.000000,-0.10551909400534443,-0.10551909400534443
BpowD,B^D,2,1,N_tag,3,0.0,0.0,0.0,0:0.000000;42:0.000000;1337:0.000000,-0.10551909400534443,-0.10551909400534443
BpowD,B^D,3,2,N_tag,3,0.0,0.0,0.0,0:0.000000;42:0.000000;1337:0.000000,-0.09879490191295527,-0.10551909400534443
BpowD,B^D,4,3,N_tag,3,0.0,0.0,0.0,0:0.000000;42:0.000000;1337:0.000000,-0.09920809616562742,-0.10551909400534443
BpowD,B^D,5,4,N_tag,3,0.0,0.0,0.0,0:0.000000;42:0.000000;1337:0.000000,-0.10551909400534443,-0.10551909400534443
BpowD,B^D,6,5,N_tag,3,0.0,0.0,0.0,0:0.000000;42:0.000000;1337:0.000000,-0.10551909400534443,-0.10551909400534443
BpowD,B^D,7,6,N_tag,3,0.0,0.0,0.0,0:0.000000;42:0.000000;1337:0.000000,-0.10551909400534443,-0.10551909400534443
BpowD,B^D,8,7,N_tag,3,0.0,0.0,0.0,0:0.000000;42:0.000000;1337:0.000000,-0.10551909400534443,-0.10551909400534443
