source_checkpoint,seed,num_layers,model_condition,representation_index,layer_label,stream,target,target_label,cv_r2,n_examples,cv_folds
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,0,input,D_tag,floorNdivBpowD,floor(N / B^D),-0.3038081202942816,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,0,input,D_tag,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.5683665798460951,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,0,input,D_ones,BpowD,B^D,0.1780963272481125,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,0,input,D_ones,NdivBpowD,N / B^D,0.36734613475755384,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,0,input,D_ones,floorNdivBpowD,floor(N / B^D),0.3694833452891528,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,0,input,D_ones,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.2730896216567212,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,0,input,O[0],BpowD,B^D,-0.09826354696490336,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,0,input,O[0],NdivBpowD,N / B^D,-0.3055546564862209,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,0,input,O[0],floorNdivBpowD,floor(N / B^D),-0.3038081202942816,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,0,input,O[0],floorNdivBpowD_modB,floor(N / B^D) mod B,-0.5683665798460951,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,0,input,O[1],BpowD,B^D,-0.05254766556790582,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,0,input,O[1],NdivBpowD,N / B^D,-0.24254343113792914,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,0,input,O[1],floorNdivBpowD,floor(N / B^D),-0.2411501486303464,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,0,input,O[1],floorNdivBpowD_modB,floor(N / B^D) mod B,-0.45695299177066523,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,N_tag,BpowD,B^D,-0.09826354696490336,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,N_tag,NdivBpowD,N / B^D,-0.3055546564862209,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,N_tag,floorNdivBpowD,floor(N / B^D),-0.3038081202942816,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,N_tag,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.5683665798460951,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,N_hundreds,BpowD,B^D,-0.06358098422104366,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,N_hundreds,NdivBpowD,N / B^D,-0.24142208845343008,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,N_hundreds,floorNdivBpowD,floor(N / B^D),-0.23979855533227004,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,N_hundreds,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.568862483541516,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,N_tens,BpowD,B^D,-0.10209552884847443,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,N_tens,NdivBpowD,N / B^D,-0.2821801475088948,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,N_tens,floorNdivBpowD,floor(N / B^D),-0.2805669758419945,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,N_tens,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.6048698575101084,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,N_ones,BpowD,B^D,-0.1418837846077718,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,N_ones,NdivBpowD,N / B^D,-0.2855167462910593,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,N_ones,floorNdivBpowD,floor(N / B^D),-0.2842707131652785,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,N_ones,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.551405087920726,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,B_tag,BpowD,B^D,-0.1602129890798189,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,B_tag,NdivBpowD,N / B^D,-0.3447175205542389,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,B_tag,floorNdivBpowD,floor(N / B^D),-0.34312097026410066,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,B_tag,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.6619228940233142,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,B_tens,BpowD,B^D,-0.13586703094824654,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,B_tens,NdivBpowD,N / B^D,-0.17835498211640483,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,B_tens,floorNdivBpowD,floor(N / B^D),-0.17853738533340308,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,B_tens,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.08351183629347658,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,B_ones,BpowD,B^D,-0.08025755733663031,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,B_ones,NdivBpowD,N / B^D,-0.17978428706350721,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,B_ones,floorNdivBpowD,floor(N / B^D),-0.1799712138781008,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,1,0,B_ones,floorNdivBpowD_modB,floor(N / B^D) mod B,0.00443657995383917,3848,5
