seed,target,target_label,representation_index,layer_label,stream,trained_cv_r2,init_cv_r2,trained_minus_init_cv_r2,remaining_gap_to_one_at_init,fraction_remaining_gap_closed,positive_fraction_remaining_gap_closed
42,BpowD,B^D,8,7,B_tag,-0.10724740815171216,-0.14256843317392115,0.03532102502220899,1.1425684331739212,0.03091370634500318,0.03091370634500318
1337,BpowD,B^D,8,7,B_tag,-0.07827951524197307,-0.13256752469067848,0.054288009448705404,1.1325675246906786,0.047933574171246246,0.047933574171246246
0,BpowD,B^D,9,8,B_tag,-0.10771720579786556,-0.12450128570110733,0.016784079903241766,1.1245012857011074,0.014925798766674755,0.014925798766674755
42,BpowD,B^D,9,8,B_tag,-0.09088517907523319,-0.1262062036255565,0.03532102455032332,1.1262062036255565,0.03136283962618531,0.03136283962618531
1337,BpowD,B^D,9,8,B_tag,-0.10117357860247696,-0.11152915475696226,0.010355576154485305,1.1115291547569623,0.009316513300768587,0.009316513300768587
0,BpowD,B^D,10,9,B_tag,-0.08043303992797353,-0.09876224492583296,0.018329204997859436,1.098762244925833,0.01668168439760748,0.01668168439760748
42,BpowD,B^D,10,9,B_tag,-0.1240014908606916,-0.10941731958710905,-0.014584171273582539,1.109417319587109,-0.01314579375686177,0.0
1337,BpowD,B^D,10,9,B_tag,-0.06160946635284481,-0.13554027248929718,0.07393080613645236,1.1355402724892971,0.06510628282199404,0.06510628282199404
0,BpowD,B^D,0,input,B_tens,-0.07019178812337934,-0.07019178812337956,2.220446049250313e-16,1.0701917881233796,2.0748113318491693e-16,2.0748113318491693e-16
42,BpowD,B^D,0,input,B_tens,-0.04028521218076002,-0.04028521218076024,2.220446049250313e-16,1.0402852121807602,2.134458918814745e-16,2.134458918814745e-16
1337,BpowD,B^D,0,input,B_tens,-0.10468360173390981,-0.10468360173390975,-5.551115123125783e-17,1.1046836017339097,-5.025072441025431e-17,0.0
0,BpowD,B^D,1,0,B_tens,-0.12618620525471386,-0.13586703094824654,0.00968082569353268,1.1358670309482466,0.008522851205084203,0.008522851205084203
