checkpoint,seed,num_layers,condition,pair_count,source_exact_rate,donor_exact_rate,source_o0_rate,source_o1_rate,donor_o0_rate,donor_o1_rate,elapsed_seconds,pairs_per_second
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,clean,4892,0.9989779231398201,0.0,0.9995911692559281,0.9989779231398201,0.7019623875715454,0.033728536385936224,11.078159500000766,441.5895979832807
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,l1_only,4892,0.214227309893704,0.634300899427637,0.9053556827473426,0.2250613246116108,0.7782093213409649,0.6991005723630417,11.77652633300022,415.40262906657136
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,l0_plus_l2plus,4892,0.634300899427637,0.214227309893704,0.7782093213409649,0.6991005723630417,0.9053556827473426,0.2250613246116108,13.876305208999838,352.5434131289622
